"id"	"dt"	"msg"	"level"
"454"	"2023-03-18 15:26:42.997223"	"53/55 72-三沙卫视-tvmao;共获取节目数量:43,;并已经保存至数据库..."	"1"
"455"	"2023-03-18 15:26:43.015175"	"73-教育1台-chuanliu 第 1 次重试失败！未提供川流TV的Authorization..."	"1"
"456"	"2023-03-18 15:26:43.023033"	"经过1次重试，chuanliu来源未能获取到 73-教育1台 频道数据!尝试更换来源。错误信息:未提供川流TV的Authorization..."	"1"
"457"	"2023-03-18 15:26:43.180047"	"chuanliu 来源获取失败， tvmao 来源获取成功..."	"1"
"458"	"2023-03-18 15:26:43.246749"	"54/55 73-教育1台-tvmao;共获取节目数量:73,;并已经保存至数据库..."	"1"
"459"	"2023-03-18 15:26:43.265895"	"74-教育2台-chuanliu 第 1 次重试失败！未提供川流TV的Authorization..."	"1"
"460"	"2023-03-18 15:26:43.273304"	"经过1次重试，chuanliu来源未能获取到 74-教育2台 频道数据!尝试更换来源。错误信息:未提供川流TV的Authorization..."	"1"
"461"	"2023-03-18 15:26:43.400329"	"chuanliu 来源获取失败， tvmao 来源获取成功..."	"1"
"462"	"2023-03-18 15:26:43.437230"	"55/55 74-教育2台-tvmao;共获取节目数量:14,;并已经保存至数据库..."	"1"
"463"	"2023-03-18 15:26:43.452191"	"第 1 天，共有55/55成功..."	"1"
"464"	"2023-03-18 15:26:43.459171"	"2023-03-19	第2天 共有：54 个频道节目表需要获取..."	"1"
"465"	"2023-03-18 15:26:43.627721"	"1/54 1-CCTV-1综合-cctv;共获取节目数量:34,;并已经保存至数据库..."	"1"
"466"	"2023-03-18 15:26:43.834804"	"2/54 3-CCTV-3综艺-cctv;共获取节目数量:22,;并已经保存至数据库..."	"1"
"467"	"2023-03-18 15:26:43.985082"	"3/54 4-CCTV-4中文国际-cctv;共获取节目数量:39,;并已经保存至数据库..."	"1"
"468"	"2023-03-18 15:26:44.143868"	"4/54 5-CCTV-5体育-cctv;共获取节目数量:16,;并已经保存至数据库..."	"1"
"469"	"2023-03-18 15:26:44.310185"	"5/54 6-CCTV-5+体育赛事-cctv;共获取节目数量:16,;并已经保存至数据库..."	"1"
"470"	"2023-03-18 15:26:44.457824"	"6/54 7-CCTV-6电影-cctv;共获取节目数量:22,;并已经保存至数据库..."	"1"
"471"	"2023-03-18 15:26:44.667220"	"7/54 8-CCTV-7国防军事-cctv;共获取节目数量:34,;并已经保存至数据库..."	"1"
"472"	"2023-03-18 15:26:44.839691"	"8/54 9-CCTV-8电视剧-cctv;共获取节目数量:42,;并已经保存至数据库..."	"1"
"473"	"2023-03-18 15:26:45.014199"	"9/54 10-CCTV-9纪录-cctv;共获取节目数量:27,;并已经保存至数据库..."	"1"
"474"	"2023-03-18 15:26:45.225782"	"10/54 11-CCTV-10科教-cctv;共获取节目数量:37,;并已经保存至数据库..."	"1"
"475"	"2023-03-18 15:26:45.422833"	"11/54 12-CCTV-11戏曲-cctv;共获取节目数量:19,;并已经保存至数据库..."	"1"
"476"	"2023-03-18 15:26:45.567414"	"12/54 13-CCTV-12社会与法-cctv;共获取节目数量:36,;并已经保存至数据库..."	"1"
"477"	"2023-03-18 15:26:45.720609"	"13/54 14-CCTV-13新闻-cctv;共获取节目数量:34,;并已经保存至数据库..."	"1"
"478"	"2023-03-18 15:26:46.053637"	"14/54 15-CCTV-14少儿-cctv;共获取节目数量:15,;并已经保存至数据库..."	"1"
"479"	"2023-03-18 15:26:46.230357"	"15/54 16-CCTV-15音乐-cctv;共获取节目数量:21,;并已经保存至数据库..."	"1"
"480"	"2023-03-18 15:26:46.448694"	"16/54 17-CCTV-17农村农业-cctv;共获取节目数量:37,;并已经保存至数据库..."	"1"
"481"	"2023-03-18 15:26:47.196489"	"17/54 20-CGTN-cabletv;共获取节目数量:43,;并已经保存至数据库..."	"1"
"482"	"2023-03-18 15:26:47.381993"	"18/54 28-浙江卫视-tvmao;共获取节目数量:39,;并已经保存至数据库..."	"1"
"483"	"2023-03-18 15:26:47.530516"	"19/54 29-江苏卫视-tvmao;共获取节目数量:31,;并已经保存至数据库..."	"1"
"484"	"2023-03-18 15:26:47.689154"	"20/54 30-北京卫视-tvmao;共获取节目数量:35,;并已经保存至数据库..."	"1"
"485"	"2023-03-18 15:26:47.853463"	"21/54 31-东方卫视-tvmao;共获取节目数量:40,;并已经保存至数据库..."	"1"
"486"	"2023-03-18 15:26:48.024526"	"22/54 32-安徽卫视-tvmao;共获取节目数量:40,;并已经保存至数据库..."	"1"
"487"	"2023-03-18 15:26:48.174470"	"23/54 33-广东卫视-gdtv;共获取节目数量:29,;并已经保存至数据库..."	"1"
"488"	"2023-03-18 15:26:48.333974"	"24/54 34-深圳卫视-tvmao;共获取节目数量:38,;并已经保存至数据库..."	"1"
"489"	"2023-03-18 15:26:48.490645"	"25/54 36-辽宁卫视-tvmao;共获取节目数量:37,;并已经保存至数据库..."	"1"
"490"	"2023-03-18 15:26:48.645972"	"26/54 37-海南卫视-tvmao;共获取节目数量:37,;并已经保存至数据库..."	"1"
"491"	"2023-03-18 15:26:48.808713"	"27/54 38-山东卫视-tvmao;共获取节目数量:32,;并已经保存至数据库..."	"1"
"492"	"2023-03-18 15:26:48.974489"	"28/54 39-天津卫视-tvmao;共获取节目数量:30,;并已经保存至数据库..."	"1"
"493"	"2023-03-18 15:26:49.125542"	"29/54 40-重庆卫视-tvmao;共获取节目数量:39,;并已经保存至数据库..."	"1"
"494"	"2023-03-18 15:26:49.277948"	"30/54 41-东南卫视-tvmao;共获取节目数量:38,;并已经保存至数据库..."	"1"
"495"	"2023-03-18 15:26:49.419894"	"31/54 42-甘肃卫视-tvmao;共获取节目数量:41,;并已经保存至数据库..."	"1"
"496"	"2023-03-18 15:26:49.575218"	"32/54 43-广西卫视-tvmao;共获取节目数量:37,;并已经保存至数据库..."	"1"
"497"	"2023-03-18 15:26:49.736397"	"33/54 44-贵州卫视-tvmao;共获取节目数量:40,;并已经保存至数据库..."	"1"
